User:                           Version:                     Date:           Time:         

   CASE  Converged        N1     ITTC       SHP     ESHP     BSFC     ESFC     W1C     NPR         FG 
      1          1  28870.00   799.84   2750.00  2998.56   0.4763   0.4368  17.275   1.292    621.412 
      2          1  28236.32   767.78   2475.00  2697.16   0.4821   0.4424  16.499   1.259    555.398 
      3          1  27471.04   734.20   2192.00  2387.75   0.4905   0.4503  15.654   1.226    489.378 
      4          1  27248.07   726.48   2132.00  2322.33   0.4925   0.4521  15.476   1.219    475.821 
      5          1  22341.75   524.37    825.00   909.68   0.6303   0.5716  11.091   1.093    211.690 
      6          1  18773.76   338.07    192.00   227.83   1.1849   0.9986   7.889   1.039     89.571 
      7          1  17131.69   254.59     45.00    68.68   3.1728   2.0790   6.757   1.025     59.190 
      8          1  16879.35   241.92     27.00    49.12   4.8744   2.6793   6.588   1.024     55.304 



